scPagwas.TRS.Score,scPagwas.gPAS.score,Random_Correct_BG_p,Random_Correct_BG_adjp,Random_Correct_BG_z
-0.3081512,-1326722.186370903,1.0,1.0,-10.0
-0.090558596,1510255.3870948497,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.18302943,-1326722.186370903,1.0,1.0,-10.0
-0.20860693,-1326722.186370903,1.0,1.0,-10.0
-0.22479153,1510255.3870948497,1.0,1.0,-10.0
-0.26019225,-1326722.186370903,1.0,1.0,-10.0
-0.17929615,-1326722.186370903,1.0,1.0,-10.0
-0.21716782,1214646.7915918073,1.0,1.0,-10.0
-0.16489801,-1326722.186370903,1.0,1.0,-10.0
-0.16418748,-150367.6273509346,1.0,1.0,-10.0
-0.16364774,-946715.5031275117,1.0,1.0,-10.0
-0.14775227,-37201.80788446354,1.0,1.0,-10.0
-0.26301533,-1326722.186370903,1.0,1.0,-10.0
-0.19551112,1510255.3870948497,1.0,1.0,-10.0
-0.14021716,-1326722.186370903,1.0,1.0,-10.0
-0.20285377,638245.5684861115,1.0,1.0,-10.0
-0.15596724,1510255.3870948497,1.0,1.0,-10.0
-0.30573982,-417610.9475731167,1.0,1.0,-10.0
-0.08461733,-1326722.186370903,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.20850228,-1195931.5299102338,1.0,1.0,-10.0
-0.17968157,1510255.3870948497,1.0,1.0,-10.0
-0.22392222,-1326722.186370903,1.0,1.0,-10.0
-0.1727206,-167800.11745833777,1.0,1.0,-10.0
-0.31053612,1510255.3870948497,1.0,1.0,-10.0
-0.31014624,1510255.3870948497,1.0,1.0,-10.0
-0.23557031,588315.5937860473,1.0,1.0,-10.0
-0.1725912,212124.01479695967,1.0,1.0,-10.0
-0.19596054,367518.55178899056,1.0,1.0,-10.0
-0.36594912,1510255.3870948497,1.0,1.0,-10.0
-0.24216121,-1052580.5785460426,1.0,1.0,-10.0
-0.20715939,-1326722.186370903,1.0,1.0,-10.0
-0.16968988,-1326722.186370903,1.0,1.0,-10.0
-0.11349883,1510255.3870948497,0.09032968225760889,0.14636056295449323,1.3387276100227274
-0.2624721,-898961.6715879494,1.0,1.0,-10.0
-0.27236947,-190883.72947811638,1.0,1.0,-10.0
-0.24063864,-1326722.186370903,1.0,1.0,-10.0
-0.19038895,-236405.77860452473,1.0,1.0,-10.0
-0.1908747,-1276636.4613057522,1.0,1.0,-10.0
-0.27593154,22257.08004318984,1.0,1.0,-10.0
-0.12608428,35676.83042335901,0.8503481069466923,1.0,-1.0379275502189391
-0.1616569,873427.0774745787,1.0,1.0,-10.0
-0.21390353,202597.4235559899,1.0,1.0,-10.0
-0.2150392,273379.23218025535,1.0,1.0,-10.0
-0.21996441,-122906.45731197765,1.0,1.0,-10.0
-0.16766386,-8409.92449181425,1.0,1.0,-10.0
-0.24877691,7241.562853780792,1.0,1.0,-10.0
-0.23277798,-13132.47174900288,1.0,1.0,-10.0
-0.25377724,-195657.9009434863,1.0,1.0,-10.0
-0.32786918,-44195.151932702625,1.0,1.0,-10.0
-0.2421655,72858.79004795592,1.0,1.0,-10.0
-0.30582717,-801.9205921891394,1.0,1.0,-10.0
-0.15690169,62669.89212553566,1.0,1.0,-10.0
-0.14196828,-3097.2105244563327,1.0,1.0,-10.0
-0.26522577,1510255.3870948497,1.0,1.0,-10.0
